水無灯里,mizunashiakari
アリス・キャロル,alicecarroll
岩倉玲音,iwakuralain
中村ゆり,nakamurayuri
立華かなで,tachibanakanade
音無結弦,otonashiyuzuru
環いろは,tamakiiroha
七海やちよ,nanamiyachiyo
由比ヶ浜結衣,yuigahamayui
一色いろは,isshikiiroha
比企谷小町,hikigayakomachi
千反田える,chitandaeru
折木奉太郎,orekihoutarou
福部里志,fukubesatoshi
伊原摩耶花,iharamayaka
白,shiro
空,sora
ステファニー・ドーラ,stephaniedola
ジブリール,jibril
リク,riku
藤宮香織,fujimiyakaori
長谷祐樹,haseyuuki
桐崎千棘,kirisakichitoge
小野寺小咲,onoderakosaki
鶫誠士郎,tsugumiseishirou
千石撫子,sengokunadeko
阿良々木月火,araragitsukihi
阿良々木火憐,araragikaren
八九寺真宵,hachikujimayoi
忍野扇,oshinoougi
球磨川禊,kumagawamisogi
安心院なじみ,ajimunajimi
黒神めだか,kurogamimedaka
人吉善吉,hitoyoshizenkichi
不知火半袖,shiranuihansode
七草ナズナ,nanakusanazuna
夜守コウ,yamorikou
桔梗,kikyou
珊瑚,sango
琥珀,kohaku
翡翠,hisui
遠坂凛,tohsakarin
間桐桜,matousakura
イリヤスフィール・フォン・アインツベルン,illyasvielvoneinzbern
ルヴィアゼリッタ・エーデルフェルト,luviazelittaedelfelt
美遊・エーデルフェルト,miyuedelfelt
高町なのは,takamachinanohа
フェイト・テスタロッサ,feitetestarossa
八神はやて,yagamihayate
シグナム,signum
ヴィータ,vita
東雲なの,shinonomenano
はかせ,hakase
相生祐子,aioiyuuko
長野原みお,naganoharamio
水上麻衣,minakamimai
鹿目まどか,kanamemadoka
美樹さやか,mikisayaka
巴マミ,tomoemami
佐倉杏子,sakurakyouko
暁美ほむら,akemihomura
百江なぎさ,momoenagisa
千斗いすず,sentoisuzu
可児江西也,kanieseiya
ラティファ・フルーランザ,latifahfullanza
五十鈴華,isuzuhana
西住みほ,nishizumimiho
西住まほ,nishizumimaho
秋山優花里,akiyamayukari
武部沙織,takebesaori
冷泉麻子,reizeimako
ダージリン,darjeeling
ケイ,kei
アンチョビ,anchovy
カチューシャ,katyusha
ノンナ,nonna
島田愛里寿,shimadaarisu
鬼龍院皐月,kiryuuinsatsuki
満艦飾マコ,mankanshokumako
蛇崩乃音,jakuzurenonon
猿投山渦,sanageyamauzu
犬牟田宝火,inumutahouka
針目縫,harimenui
四宮かぐや,shinomiyakaguya
白銀御行,shiroganemiyuki
藤原千花,fujiharachika
石上優,ishigamiyuu
伊井野ミコ,iinomiko
早坂愛,hayasakaai
四条眞妃,shijoumaki
黒沼爽子,kuronumasawako
風早翔太,kazehayashouta
矢野あやね,yanoayane
吉田千鶴,yoshidachizuru
真田龍,sanadaryuu
久遠寺有珠,kuonjiarisu
蒼崎青子,aozakiaoko
両儀式,ryougishiki
黒桐幹也,kokutoumikiya
蒼崎橙子,aozakitouko
夜神月,yagamiraito
L,lawliet
ニア,near
メロ,mello
松田桃太,matsudatouta
上条当麻,kamijoutouma
一方通行,accelerator
浜面仕上,hamazurashiage
土御門元春,tsuchimikadomotoharu
垣根帝督,kakinetitoku
司波達也,shibatatsuya
司波深雪,shibamiyuki
千葉エリカ,chibaerika
西城レオンハルト,saijouleonhart
吉田幹比古,yoshidamikihiko
竈門炭治郎,kamadotanjirou
竈門禰豆子,kamadonezuko
我妻善逸,agatsumazenitsu
嘴平伊之助,hashibirainosuke
冨岡義勇,tomiokagiyuu
胡蝶しのぶ,kochoushinobu
宇髄天元,uzuitengen
時透無一郎,tokitoumuichirou
甘露寺蜜璃,kanrojimitsuri
伊黒小芭内,iguroobanai
悲鳴嶼行冥,himejimagyomei
黒崎一護,kurosakiichigo
朽木ルキア,kuchikirukia
阿散井恋次,abarairenji
石田雨竜,ishidauuryuu
井上織姫,inoueorihime
日番谷冬獅郎,hitsugayatoushirou
更木剣八,zarakikenpachi
草鹿やちる,kusajishiyachiru
浦原喜助,uraharakeisuke
平子真子,hirakoshinji
坂田銀時,sakatagintoki
志村新八,shimurashinpachi
神楽,kagura
桂小太郎,katsurakotarou
高杉晋助,takasugishinsuke
土方十四郎,hijikatatoushirou
沖田総悟,okitasougo
近藤勲,kondouisao
リヴァイ,levi
エレン・イェーガー,erenyeager
ミカサ・アッカーマン,mikasaackerman
アルミン・アルレルト,arminarlert
ジャン・キルシュタイン,jeankirstein
コニー・スプリンガー,conniespringer
サシャ・ブラウス,sashabraus
ハンジ・ゾエ,hangezoe
エルヴィン・スミス,erwinsmith
ベルトルト・フーバー,bertholdthoover
ライナー・ブラウン,reinerbraun
アニ・レオンハート,annieleonhart
ヨル・フォージャー,yorforger
ロイド・フォージャー,loidforger
アーニャ・フォージャー,anyaforger
ダミアン・デズモンド,damiandesmond
ベッキー・ブラックベル,beckyblackbell
ボンド・フォージャー,bondforger
デンジ,denji
マキマ,makima
パワー,power
早川アキ,hayakawaaki
姫野,himeno
東山コベニ,higashiyamakobeni
岸辺,kishibe
レゼ,reze
天野陽菜,amanohina
森嶋帆高,morishimahodaka
須賀圭介,sugakeisuke
富美,fumi
立花瀧,tachibanataki
宮水三葉,miyamizumitsuha
奥寺ミキ,okuderamiki
名取早耶香,natorisayaka
テッシー,tessie
瀧川吉野,takigawayoshino
不破愛花,fuwaika
鎖部葉風,kusarbehakaze
鎖部夏村,kusarbeneumura
クレア・スタンフィールド,clairestanfield
アイザック・ディアン,isaacdia
ミリア・ハーヴェント,milliaharvent
フィーロ・プロシェンツォ,firoprochainezo
エニス,enis
ジャグジー・スプロット,jacuzzisplot
シズちゃん,shizuchan
セルティ・ストゥルルソン,celtysturuluson
岸谷新羅,kishitanishinra
紀田正臣,kidamasaomi
園原杏里,sonoharaanri
折原臨也,oriharaizaya
平和島静雄,heiwajimashizuo
門田京平,kadotakyouhei
三ヶ島沙樹,mikajimasaki
岸谷森厳,kishitanishingen
碇シンジ,ikarishinji
綾波レイ,ayanamirei
惣流・アスカ・ラングレー,soryuasukalangley
葛城ミサト,katsuragimisato
渚カヲル,nagisakaworu
赤木リツコ,akagiritsuko
日向マコト,hyugamakoto
加持リョウジ,kajiryouji
天上ウテナ,tenjouutena
姫宮アンシー,himemiyaanthy
桐生冬芽,kiryutouga
西園寺莢一,saionjikyouichi
月野うさぎ,tsukinousagi
水野亜美,mizunoami
火野レイ,hinorei
木野まこと,kinomakoto
愛野美奈子,ainominako
木之本桜,kinomotosakura
大道寺知世,daidoujitomoyo
李小狼,lishaoran
李苺鈴,limelin
ケルベロス,kerberos
月城雪兎,tsukiroyukito
ユエ,yue
ロラン・セアック,lorancehack
ディアナ・ソレル,dianasorel
キエル・ハイム,kielheim
ソシエ・ハイム,socheim
ガロード・ラン,garodoran
ティファ・アディール,tiffaadill
ジャミル・ニート,jamilneate
獅子王凱,shishiougaai
天海護,amamikamoru
卯都木命,utsugimikoto
藤原佐為,fujisawanosai
進藤ヒカル,shindouhikaru
塔矢アキラ,touyaakira
犬夜叉,inuyasha
日暮かごめ,higurashikagome
弥勒,miroku
七宝,shippo
殺生丸,sesshoumaru
りん,rin
早乙女乱馬,saotomeranma
天道あかね,tendoakane
シャンプー,shampoo
ムース,moose
響良牙,hibikiryouga
浦飯幽助,urameshiyuusuke
桑原和真,kuwabarakazuma
蔵馬,kurama
飛影,hiei
雪村螢子,yukimurakeiko
幻海,genkai
星野ルリ,hoshinoruri
テンカワ・アキト,tenkawaakito
ミスマル・ユリカ,misumaruyurika
スパイク・スピーゲル,spikespiegel
ジェット・ブラック,jetblack
フェイ・ヴァレンタイン,fayevalentine
エド,edward
ヴァッシュ・ザ・スタンピード,vashthestampede
メリル・ストライフ,merylstryfe
ミリィ・トンプソン,millythompson
ニコラス・D・ウルフウッド,nicholasdwolfwood
ケンシロウ,kenshirou
ラオウ,raoh
トキ,toki
リン,rin
バット,bat
麻倉葉,asakurayou
恐山アンナ,kyouyamaanna
道蓮,taoren
ホロホロ,horohoro
ファウストVIII世,fausttheeighth
結城梨斗,yuukirito
ララ・サタリン・デビルーク,lalasatalindeviluke
西連寺春菜,sairenjiharuna
金色の闇,konjikinoyami
古手川唯,kotekawayui
高嶺清麿,takaminekiyomaro
ガッシュ・ベル,gashbell
ティオ,tio
大海恵,oomimegumi
ルイズ・フランソワーズ・ル・ブラン・ド・ラ・ヴァリエール,luisefrancoiseleblancdelavalliere
平賀才人,hiragaisaito
シエスタ,siesta
タバサ,tabasa
シャナ,shana
坂井悠二,sakaiyuuji
吉田一美,yoshidakazumi
相良宗介,sagarasousuke
千鳥かなめ,chidorikaname
テレサ・テスタロッサ,teresatestarossa
